FEN,Evaluation
1r1r2k1/p1q2ppp/np2p3/4R3/P2P4/2P2P1P/4QP2/2R3K1 w - - 0 24,-115
1r1r2k1/p1q2ppp/Qp2p3/4R3/P2P4/2P2P1P/5P2/2R3K1 b - - 0 24,-153
1r4k1/p1q2ppp/Qp2p3/4R3/P2r4/2P2P1P/5P2/2R3K1 w - - 0 25,-130
1r4k1/p1q2ppp/Qp2p3/4R3/P2P4/5P1P/5P2/2R3K1 b - - 0 25,-176
1r4k1/p4ppp/Qp2p3/4R3/P2P4/5P1P/5P2/2q3K1 w - - 0 26,-145
1r4k1/p4ppp/Qp2p3/4R3/P2P4/5P1P/5PK1/2q5 b - - 1 26,-199
1r4k1/p1q2ppp/Qp2p3/4R3/P2P4/5P1P/5PK1/8 w - - 2 27,-165
1r4k1/p1q2ppp/Qp2p3/P3R3/3P4/5P1P/5PK1/8 b - - 0 27,-229
1r4k1/p1q2pp1/Qp2p2p/P3R3/3P4/5P1P/5PK1/8 w - - 0 28,-186
1r4k1/p1q2pp1/QP2p2p/4R3/3P4/5P1P/5PK1/8 b - - 0 28,-226
1r4k1/p4pp1/Qq2p2p/4R3/3P4/5P1P/5PK1/8 w - - 0 29,-183
1r4k1/p4pp1/1q2p2p/4R3/2QP4/5P1P/5PK1/8 b - - 1 29,-276
1r4k1/p4pp1/3qp2p/4R3/2QP4/5P1P/5PK1/8 w - - 2 30,-121
1r4k1/p4pp1/3qp2p/R7/2QP4/5P1P/5PK1/8 b - - 3 30,-139
3r2k1/p4pp1/3qp2p/R7/2QP4/5P1P/5PK1/8 w - - 4 31,-149
3r2k1/R4pp1/3qp2p/8/2QP4/5P1P/5PK1/8 b - - 0 31,-159
3r2k1/R4pp1/4p2p/8/2Qq4/5P1P/5PK1/8 w - - 0 32,-115
3r2k1/R4pp1/4p2p/8/3Q4/5P1P/5PK1/8 b - - 0 32,-172
6k1/R4pp1/4p2p/8/3r4/5P1P/5PK1/8 w - - 0 33,-156
6k1/R4pp1/4p2p/8/3r4/5PKP/5P2/8 b - - 1 33,-177
6k1/R4p2/4p2p/6p1/3r4/5PKP/5P2/8 w - - 0 34,-150
6k1/1R3p2/4p2p/6p1/3r4/5PKP/5P2/8 b - - 1 34,-176
8/1R3pk1/4p2p/6p1/3r4/5PKP/5P2/8 w - - 2 35,-108
8/R4pk1/4p2p/6p1/3r4/5PKP/5P2/8 b - - 3 35,-165
8/R4p2/4p1kp/6p1/3r4/5PKP/5P2/8 w - - 4 36,-148
R7/5p2/4p1kp/6p1/3r4/5PKP/5P2/8 b - - 5 36,-196
R7/5p2/4p1k1/6pp/3r4/5PKP/5P2/8 w - - 0 37,-106
6R1/5p2/4p1k1/6pp/3r4/5PKP/5P2/8 b - - 1 37,-161
6R1/5p2/4p3/5kpp/3r4/5PKP/5P2/8 w - - 2 38,-138
7R/5p2/4p3/5kpp/3r4/5PKP/5P2/8 b - - 3 38,-149
7R/5p2/4p3/5kp1/3r3p/5PKP/5P2/8 w - - 0 39,-123
7R/5p2/4p3/5kp1/3r3p/5P1P/5PK1/8 b - - 1 39,-160
7R/5p2/4p3/6p1/3r1k1p/5P1P/5PK1/8 w - - 2 40,-129
5R2/5p2/4p3/6p1/3r1k1p/5P1P/5PK1/8 b - - 3 40,-149
5R2/3r1p2/4p3/6p1/5k1p/5P1P/5PK1/8 w - - 4 41,-99
R7/3r1p2/4p3/6p1/5k1p/5P1P/5PK1/8 b - - 5 41,-136
R7/3r1p2/4p3/5kp1/7p/5P1P/5PK1/8 w - - 6 42,-109
1R6/3r1p2/4p3/5kp1/7p/5P1P/5PK1/8 b - - 7 42,-144
1R6/3r1p2/8/4pkp1/7p/5P1P/5PK1/8 w - - 0 43,-96
8/3r1p2/8/1R2pkp1/7p/5P1P/5PK1/8 b - - 1 43,-160
8/3r1p2/4k3/1R2p1p1/7p/5P1P/5PK1/8 w - - 2 44,-114
8/3r1p2/4k3/R3p1p1/7p/5P1P/5PK1/8 b - - 3 44,-131
8/5p2/4k3/R3p1p1/3r3p/5P1P/5PK1/8 w - - 4 45,-152
8/5p2/R3k3/4p1p1/3r3p/5P1P/5PK1/8 b - - 5 45,-131
8/5p2/R2rk3/4p1p1/7p/5P1P/5PK1/8 w - - 6 46,-114
8/5p2/3rk3/R3p1p1/7p/5P1P/5PK1/8 b - - 7 46,-131
8/5p2/3r1k2/R3p1p1/7p/5P1P/5PK1/8 w - - 8 47,-152
8/5p2/3r1k2/1R2p1p1/7p/5P1P/5PK1/8 b - - 9 47,-160
8/5p2/4rk2/1R2p1p1/7p/5P1P/5PK1/8 w - - 10 48,-94
8/5p2/4rk2/4p1p1/1R5p/5P1P/5PK1/8 b - - 11 48,-131
8/4rp2/5k2/4p1p1/1R5p/5P1P/5PK1/8 w - - 12 49,-145
8/4rp2/5k2/4p1p1/R6p/5P1P/5PK1/8 b - - 13 49,-142
8/4rp2/8/4pkp1/R6p/5P1P/5PK1/8 w - - 14 50,-94
8/4rp2/8/R3pkp1/7p/5P1P/5PK1/8 b - - 15 50,-131
8/3r1p2/8/R3pkp1/7p/5P1P/5PK1/8 w - - 16 51,-151
8/3r1p2/8/1R2p1p1/5k1p/5P1P/5PK1/8 w - - 18 52,-142
8/3r1p2/8/4p1p1/1R3k1p/5P1P/5PK1/8 b - - 19 52,-144
8/5p2/8/4p1p1/1R1r1k1p/5P1P/5PK1/8 w - - 20 53,-131
8/5p2/1R6/4p1p1/3r1k1p/5P1P/5PK1/8 b - - 21 53,-140
8/5p2/1R6/4pkp1/3r3p/5P1P/5PK1/8 w - - 22 54,-141
3r4/5p2/8/1R2pkp1/7p/5P1P/5PK1/8 w - - 24 55,-116
3r4/1R3p2/8/4pkp1/7p/5P1P/5PK1/8 b - - 25 55,-131
5r2/1R3p2/8/4pkp1/7p/5P1P/5PK1/8 w - - 26 56,-145
5r2/5p2/8/1R2pkp1/7p/5P1P/5PK1/8 b - - 27 56,-138
6r1/5p2/8/1R2pkp1/7p/5P1P/5PK1/8 w - - 28 57,-94
6r1/1R3p2/8/4pkp1/7p/5P1P/5PK1/8 b - - 29 57,-131
6r1/1R3p2/6k1/4p1p1/7p/5P1P/5PK1/8 w - - 30 58,-145
6r1/5p2/6k1/1R2p1p1/7p/5P1P/5PK1/8 b - - 31 58,-138
4r3/5p2/6k1/1R2p1p1/7p/5P1P/5PK1/8 w - - 32 59,-94
4r3/5p2/6k1/4p1p1/1R5p/5P1P/5PK1/8 b - - 33 59,-131
8/4rp2/6k1/4p1p1/1R5p/5P1P/5PK1/8 w - - 34 60,-145
8/4rp2/6k1/4p1p1/R6p/5P1P/5PK1/8 b - - 35 60,-130
8/8/1R6/4ppp1/3r1k1p/5P1P/5PK1/8 w - - 0 65,-106
8/8/5R2/4ppp1/3r1k1p/5P1P/5PK1/8 b - - 1 65,-471
8/8/5R2/4ppp1/5k1p/3r1P1P/5PK1/8 w - - 2 66,-498
8/5R2/8/4ppp1/5k1p/3r1P1P/5PK1/8 b - - 3 66,-553
8/5R2/8/4ppp1/5k1p/5r1P/5PK1/8 w - - 0 67,-495
r1b1kb1r/pp2pppp/1nnq4/8/8/1BPp1N2/PP2QPPP/RNB2RK1 w kq - 0 11,-31
r1b1kb1r/pp2pppp/1nnq4/8/8/1BPpQN2/PP3PPP/RNB2RK1 b kq - 1 11,-63
r3kb1r/pp2pppp/1nnq4/5b2/8/1BPpQN2/PP3PPP/RNB2RK1 w kq - 2 12,3
r3kb1r/pp2pppp/1nnq4/5b2/7N/1BPpQ3/PP3PPP/RNB2RK1 b kq - 3 12,-114
r3kb1r/pp1qpppp/1nn5/5b2/7N/1BPpQ3/PP3PPP/RNB2RK1 w kq - 4 13,0
r3kb1r/pp1qpppp/1nn5/5b2/7N/1BPp1Q2/PP3PPP/RNB2RK1 b kq - 5 13,-163
r3kb1r/pp1qpppp/1nn1b3/8/7N/1BPp1Q2/PP3PPP/RNB2RK1 w kq - 6 14,0
r3kb1r/pp1qpppp/1nn1B3/8/7N/2Pp1Q2/PP3PPP/RNB2RK1 b kq - 0 14,-61
r3kb1r/pp2pppp/1nn1q3/8/7N/2Pp1Q2/PP3PPP/RNB2RK1 w kq - 0 15,-7
r3kb1r/pp2pppp/1nn1q3/8/7N/2PQ4/PP3PPP/RNB2RK1 b kq - 0 15,-68
r3kb1r/pp2pp1p/1nn1q1p1/8/7N/2PQ4/PP3PPP/RNB2RK1 w kq - 0 16,-6
r3kb1r/pp2pp1p/1nn1q1p1/8/8/2PQ1N2/PP3PPP/RNB2RK1 b kq - 1 16,-50
3rkb1r/pp2pp1p/1nn1q1p1/8/8/2PQ1N2/PP3PPP/RNB2RK1 w k - 2 17,-18
3rkb1r/pp2pp1p/1nn1q1p1/8/8/2P2N2/PPQ2PPP/RNB2RK1 b k - 3 17,-61
3rk2r/pp2ppbp/1nn1q1p1/8/8/2P2N2/PPQ2PPP/RNB2RK1 w k - 4 18,0
3rk2r/pp2ppbp/1nn1q1p1/8/8/N1P2N2/PPQ2PPP/R1B2RK1 b k - 5 18,-52
3r1rk1/pp2ppbp/1nn1q1p1/8/8/N1P2N2/PPQ2PPP/R1B2RK1 w - - 6 19,-20
3r1rk1/pp2ppbp/1nn1q1p1/6B1/8/N1P2N2/PPQ2PPP/R4RK1 b - - 7 19,-50
3r1rk1/pp2ppbp/2n1q1p1/6B1/2n5/N1P2N2/PPQ2PPP/R4RK1 w - - 8 20,12
3r1rk1/pp2ppbp/2n1q1p1/6B1/2N5/2P2N2/PPQ2PPP/R4RK1 b - - 0 20,-48
3r1rk1/pp2ppbp/2n3p1/6B1/2q5/2P2N2/PPQ2PPP/R4RK1 w - - 0 21,-12
3r1rk1/pp2ppbp/2n3p1/6B1/2q5/2P2N2/PPQ2PPP/R3R1K1 b - - 1 21,-66
5rk1/pp1rppbp/2n3p1/6B1/2q5/2P2N2/PPQ2PPP/R3R1K1 w - - 2 22,-20
5rk1/pp1rppbp/2n3p1/6B1/2q5/2P2N2/PP2QPPP/R3R1K1 b - - 3 22,-77
5rk1/pp1rppbp/2n3p1/6B1/8/2P2N2/PP2qPPP/R3R1K1 w - - 0 23,-64
5rk1/pp1rppbp/2n3p1/6B1/8/2P2N2/PP2RPPP/R5K1 b - - 0 23,-90
5rk1/pp1r1pbp/2n1p1p1/6B1/8/2P2N2/PP2RPPP/R5K1 w - - 0 24,-13
5rk1/pp1r1pbp/2n1p1p1/6B1/8/2P2N2/PP2RPPP/R4K2 b - - 1 24,-46
5rk1/pp1r1pbp/4p1p1/n5B1/8/2P2N2/PP2RPPP/R4K2 w - - 2 25,12
5rk1/pp1r1pbp/4p1p1/n5B1/8/2P2N2/PP1R1PPP/R4K2 b - - 3 25,-13
5rk1/pp3pbp/4p1p1/n5B1/8/2P2N2/PP1r1PPP/R4K2 w - - 0 26,20
5rk1/pp3pbp/4p1p1/n5B1/8/2P5/PP1N1PPP/R4K2 b - - 0 26,-25
5rk1/pp3pb1/4p1pp/n5B1/8/2P5/PP1N1PPP/R4K2 w - - 0 27,19
5rk1/pp3pb1/4p1pp/n7/8/2P1B3/PP1N1PPP/R4K2 b - - 1 27,-36
5rk1/p4pb1/1p2p1pp/n7/8/2P1B3/PP1N1PPP/R4K2 w - - 0 28,30
5rk1/p4pb1/1p2p1pp/n7/8/2P1B3/PP1NKPPP/R7 b - - 1 28,-30
2r3k1/p4pb1/1p2p1pp/n7/8/2P1B3/PP1NKPPP/R7 w - - 2 29,26
2r3k1/p4pb1/1p2p1pp/n7/8/2P1B3/PP1NKPPP/3R4 b - - 3 29,-11
2r2k2/p4pb1/1p2p1pp/n7/8/2P1B3/PP1NKPPP/3R4 w - - 4 30,25
2r2k2/p4pb1/1p2p1pp/n7/4N3/2P1B3/PP2KPPP/3R4 b - - 5 30,-13
2r5/p3kpb1/1p2p1pp/n7/4N3/2P1B3/PP2KPPP/3R4 w - - 6 31,11
2r5/p3kpb1/1p1Np1pp/n7/8/2P1B3/PP2KPPP/3R4 b - - 7 31,-30
r7/p3kpb1/1p1Np1pp/n7/8/2P1B3/PP2KPPP/3R4 w - - 8 32,50
r7/p3kpb1/1p2p1pp/nN6/8/2P1B3/PP2KPPP/3R4 b - - 9 32,-53
r7/p3kpb1/1p2p1pp/1N6/2n5/2P1B3/PP2KPPP/3R4 w - - 10 33,-17
r7/p3kpb1/1p2p1pp/1N6/2n5/2P5/PP2KPPP/2BR4 b - - 11 33,-72
r7/4kpb1/pp2p1pp/1N6/2n5/2P5/PP2KPPP/2BR4 w - - 0 34,-38
r7/4kpb1/pp2p1pp/8/2nN4/2P5/PP2KPPP/2BR4 b - - 1 34,-50
2r5/4kpb1/pp2p1pp/8/2nN4/2P5/PP2KPPP/2BR4 w - - 2 35,-2
2r5/4kpb1/pp2p1pp/8/2nN4/1PP5/P3KPPP/2BR4 b - - 0 35,-32
2r5/4kpb1/pp2p1pp/4n3/3N4/1PP5/P3KPPP/2BR4 w - - 1 36,24
2r5/4kpb1/pp2p1pp/4n3/3N4/BPP5/P3KPPP/3R4 b - - 2 36,-9
2r1k3/5pb1/pp2p1pp/4n3/3N4/BPP5/P3KPPP/3R4 w - - 3 37,30
2r1k3/5pb1/pp2p1pp/4n3/2PN4/BP6/P3KPPP/3R4 b - - 0 37,-16
2r1k3/5pb1/ppn1p1pp/8/2PN4/BP6/P3KPPP/3R4 w - - 1 38,54
2r1k3/5pb1/ppn1p1pp/8/2P5/BP3N2/P3KPPP/3R4 b - - 2 38,-53
3rk3/5pb1/ppn1p1pp/8/2P5/BP3N2/P3KPPP/3R4 w - - 3 39,3
3Rk3/5pb1/ppn1p1pp/8/2P5/BP3N2/P3KPPP/8 b - - 0 39,-13
3k4/5pb1/ppn1p1pp/8/2P5/BP3N2/P3KPPP/8 w - - 0 40,13
3k4/5pb1/ppn1p1pp/8/2P5/BP2KN2/P4PPP/8 b - - 1 40,-34
8/3k1pb1/ppn1p1pp/8/2P5/BP2KN2/P4PPP/8 w - - 2 41,0
8/3k1pb1/ppn1p1pp/8/2P5/BP2KN1P/P4PP1/8 b - - 0 41,-35
8/3k1p2/ppn1p1pp/8/2P5/BPb1KN1P/P4PP1/8 w - - 1 42,12
8/3k1p2/ppn1p1pp/8/2P3P1/BPb1KN1P/P4P2/8 b - - 0 42,-25
8/3k1p2/ppn1pbpp/8/2P3P1/BP2KN1P/P4P2/8 w - - 1 43,61
5B2/3k1p2/ppn1pbpp/8/2P3P1/1P2KN1P/P4P2/8 b - - 2 43,24
5B2/3k1p2/ppn1pbp1/7p/2P3P1/1P2KN1P/P4P2/8 w - - 0 44,51
5B2/3k1p2/ppn1pbp1/6Pp/2P5/1P2KN1P/P4P2/8 b - - 0 44,0
5B2/3k1p2/ppn1p1p1/6Pp/2P5/1P2KN1P/Pb3P2/8 w - - 1 45,63
5B2/3k1p2/ppn1p1p1/6Pp/2P1K3/1P3N1P/Pb3P2/8 b - - 2 45,4
5B2/3k1p2/1pn1p1p1/p5Pp/2P1K3/1P3N1P/Pb3P2/8 w - - 0 46,42
5B2/3k1p2/1pn1p1p1/p5Pp/2P1K3/1P5P/Pb3P2/4N3 b - - 1 46,0
5B2/3k1p2/1pn1p1p1/p5Pp/2P1K3/1P5P/P4P2/2b1N3 w - - 2 47,60
5B2/3k1p2/1pn1p1p1/p5Pp/2P1KP2/1P5P/P7/2b1N3 b - - 0 47,0
5B2/3k1p2/1p2p1p1/p5Pp/1nP1KP2/1P5P/P7/2b1N3 w - - 1 48,69
8/3k1p2/1p2p1p1/p5Pp/1BP1KP2/1P5P/P7/2b1N3 b - - 0 48,0
8/3k1p2/1p2p1p1/6Pp/1pP1KP2/1P5P/P7/2b1N3 w - - 0 49,18
8/3k1p2/1p2p1p1/6Pp/1pP1KP2/1P1N3P/P7/2b5 b - - 1 49,0
8/3k1p2/1p2p1p1/6Pp/1pP1KP2/1P1N3P/P2b4/8 w - - 2 50,13
8/3k1p2/1p2p1p1/2P3Pp/1p2KP2/1P1N3P/P2b4/8 b - - 0 50,0
8/3k1p2/4p1p1/2p3Pp/1p2KP2/1P1N3P/P2b4/8 w - - 0 51,0
8/3k1p2/4p1p1/2N3Pp/1p2KP2/1P5P/P2b4/8 b - - 0 51,0
8/5p2/3kp1p1/2N3Pp/1p2KP2/1P5P/P2b4/8 w - - 1 52,0
8/1N3p2/3kp1p1/6Pp/1p2KP2/1P5P/P2b4/8 b - - 2 52,0
8/1Nk2p2/4p1p1/6Pp/1p2KP2/1P5P/P2b4/8 w - - 3 53,66
8/2k2p2/4p1p1/N5Pp/1p2KP2/1P5P/P2b4/8 b - - 4 53,29
8/3k1p2/4p1p1/N5Pp/1p2KP2/1P5P/P2b4/8 w - - 5 54,89
8/3k1p2/4p1p1/6Pp/1pN1KP2/1P5P/P2b4/8 b - - 6 54,0
8/3k1p2/4p1p1/6Pp/1pN1KP2/1P5P/P7/2b5 w - - 7 55,42
8/3k1p2/4p1p1/4N1Pp/1p2KP2/1P5P/P7/2b5 b - - 8 55,0
4k3/5p2/4p1p1/4N1Pp/1p2KP2/1P5P/P7/2b5 w - - 9 56,17
4k3/5p2/4p1p1/6Pp/1p2KP2/1P1N3P/P7/2b5 b - - 10 56,0
4k3/5p2/4p1p1/6Pp/1p2KP2/1P1N3P/P2b4/8 w - - 11 57,42
r4rk1/pbqnbp1p/1p1pp1p1/4P3/3P1B1P/2PB1N2/P4PP1/2RQR1K1 b - - 0 15,0
r2r2k1/pbqnbp1p/1p1pp1p1/4P3/3P1B1P/2PB1N2/P4PP1/2RQR1K1 w - - 1 16,9
r2r2k1/pbqnbp1p/1p1pp1p1/4P2P/3P1B2/2PB1N2/P4PP1/2RQR1K1 b - - 0 16,8
r2r2k1/pbqnbp1p/1p2p1p1/4p2P/3P1B2/2PB1N2/P4PP1/2RQR1K1 w - - 0 17,95
r2r2k1/pbqnbp1p/1p2p1p1/4N2P/3P1B2/2PB4/P4PP1/2RQR1K1 b - - 0 17,20
r2r2k1/pbqn1p1p/1p1bp1p1/4N2P/3P1B2/2PB4/P4PP1/2RQR1K1 w - - 1 18,130
r2r2k1/pbqn1p1p/1p1bp1P1/4N3/3P1B2/2PB4/P4PP1/2RQR1K1 b - - 0 18,37
r2r2k1/pbqn1p2/1p1bp1p1/4N3/3P1B2/2PB4/P4PP1/2RQR1K1 w - - 0 19,138
r2r2k1/pbqn1p2/1p1bp1p1/4N3/3P1BQ1/2PB4/P4PP1/2R1R1K1 b - - 1 19,70
r2r2k1/pbq2p2/1p1bp1p1/4n3/3P1BQ1/2PB4/P4PP1/2R1R1K1 w - - 0 20,100
r2r2k1/pbq2p2/1p1bp1p1/4B3/3P2Q1/2PB4/P4PP1/2R1R1K1 b - - 0 20,-48
r2r2k1/pbq2p2/1p2p1p1/4b3/3P2Q1/2PB4/P4PP1/2R1R1K1 w - - 0 21,-55
r2r2k1/pbq2p2/1p2p1p1/4R3/3P2Q1/2PB4/P4PP1/2R3K1 b - - 0 21,-100
r2r4/pbq2pk1/1p2p1p1/4R3/3P2Q1/2PB4/P4PP1/2R3K1 w - - 1 22,81
r2r4/pbq2pk1/1p2p1p1/4R3/3P2Q1/2PB4/P1R2PP1/6K1 b - - 2 22,-99
r6r/pbq2pk1/1p2p1p1/4R3/3P2Q1/2PB4/P1R2PP1/6K1 w - - 3 23,-25
r6r/pbq2pk1/1p2p1p1/4R3/2PP2Q1/3B4/P1R2PP1/6K1 b - - 0 23,-154
r7/pbq2pk1/1p2p1pr/4R3/2PP2Q1/3B4/P1R2PP1/6K1 w - - 1 24,-136
r1b1kb1r/pp1p1ppp/2n1p3/q3P3/3P4/2P2N2/P4PPP/R1BQKB1R w KQkq - 1 9,123
r1b1kb1r/pp1p1ppp/2n1p3/q3P3/3P4/2P2N2/P2B1PPP/R2QKB1R b KQkq - 2 9,42
r1b1k2r/ppq2ppp/2nbp3/8/3P4/2PB1N2/P2B1PPP/R2QK2R w KQkq - 2 12,113
r1b1k2r/ppq2ppp/2nbp3/8/3P4/2PB1N2/P2BQPPP/R3K2R b KQkq - 3 12,76
r1b1k2r/ppq1nppp/3bp3/8/3P4/2PB1N2/P2BQPPP/R3K2R w KQkq - 4 13,57
r1b1k2r/ppq1nppp/3bp3/8/2PP4/3B1N2/P2BQPPP/R3K2R b KQkq - 0 13,7
r1b1k2r/ppq1nppp/4p3/8/2PP1b2/3B1N2/P2BQPPP/R3K2R w KQkq - 1 14,156
r1b1k2r/ppq1nppp/4p3/8/2PP1B2/3B1N2/P3QPPP/R3K2R b KQkq - 0 14,87
r1b1k2r/pp2nppp/4p3/8/2PP1q2/3B1N2/P3QPPP/R3K2R w KQkq - 0 15,103
r1b1k2r/pp2nppp/4p3/8/2PP1q2/3BQN2/P4PPP/R3K2R b KQkq - 1 15,66
r1b1k2r/pp2nppp/3qp3/8/2PP4/3BQN2/P4PPP/R3K2R w KQkq - 2 16,126
r1b1k2r/pp2nppp/3qp3/8/2PP4/3BQN2/P4PPP/R4RK1 b kq - 3 16,59
r1b1k2r/p3nppp/1p1qp3/8/2PP4/3BQN2/P4PPP/R4RK1 w kq - 0 17,205
r1b1k2r/p3nppp/1p1qp3/8/2PP4/3BQN2/P4PPP/R3R1K1 b kq - 1 17,197
r1b2rk1/p3nppp/1p1qp3/8/2PP4/3BQN2/P4PPP/R3R1K1 w - - 2 18,684
r1b2rk1/p3nppp/1p1qp3/8/2PP4/3BQN2/P4PPP/1R2R1K1 b - - 3 18,56
r1b2rk1/p4ppp/1pnqp3/8/2PP4/3BQN2/P4PPP/1R2R1K1 w - - 4 19,196
r1b2rk1/p4ppp/1pnqp3/8/2PP2P1/3BQN2/P4P1P/1R2R1K1 b - - 0 19,57
r1b2rk1/p4pp1/1pnqp2p/8/2PP2P1/3BQN2/P4P1P/1R2R1K1 w - - 0 20,193
r1b2rk1/p4pp1/1pnqp2p/6P1/2PP4/3BQN2/P4P1P/1R2R1K1 b - - 0 20,158
r1b2rk1/p4pp1/1pnqp3/6Pp/2PP4/3BQN2/P4P1P/1R2R1K1 w - - 0 21,202
r1b2rk1/p4pp1/1pnqp3/6Pp/2PPQ3/3B1N2/P4P1P/1R2R1K1 b - - 1 21,105
r1b2rk1/p4p2/1pnqp1p1/6Pp/2PPQ3/3B1N2/P4P1P/1R2R1K1 w - - 0 22,103
r1b2rk1/p4p2/1pnqp1p1/2P3Pp/3PQ3/3B1N2/P4P1P/1R2R1K1 b - - 0 22,81
r1b2rk1/p4p2/2nqp1p1/2p3Pp/3PQ3/3B1N2/P4P1P/1R2R1K1 w - - 0 23,202
r1b2rk1/p4p2/2nqp1p1/2P3Pp/4Q3/3B1N2/P4P1P/1R2R1K1 b - - 0 23,26
r1b2rk1/p4p2/2n1p1p1/2Pq2Pp/4Q3/3B1N2/P4P1P/1R2R1K1 w - - 1 24,179
r1b2rk1/p4p2/2n1p1p1/2PQ2Pp/8/3B1N2/P4P1P/1R2R1K1 b - - 0 24,109
r1b2rk1/p4p2/2n3p1/2Pp2Pp/8/3B1N2/P4P1P/1R2R1K1 w - - 0 25,127
r1b2rk1/p4p2/2n3p1/2PpN1Pp/8/3B4/P4P1P/1R2R1K1 b - - 1 25,113
r1b2rk1/p4p2/6p1/2PpN1Pp/3n4/3B4/P4P1P/1R2R1K1 w - - 2 26,130
r1b2rk1/p4p2/6p1/1BPpN1Pp/3n4/8/P4P1P/1R2R1K1 b - - 3 26,-141
r4rk1/p4p2/6p1/1BPpNbPp/3n4/8/P4P1P/1R2R1K1 w - - 4 27,-64
r4rk1/p4p2/6p1/1BPpNbPp/3n4/8/PR3P1P/4R1K1 b - - 5 27,-184
1r3rk1/p4p2/6p1/1BPpNbPp/3n4/8/PR3P1P/4R1K1 w - - 6 28,-21
1r3rk1/p4p2/6p1/1BPpNbPp/P2n4/8/1R3P1P/4R1K1 b - - 0 28,-84
1r3rk1/5p2/p5p1/1BPpNbPp/P2n4/8/1R3P1P/4R1K1 w - - 0 29,-73
1r3rk1/5p2/p5p1/1BPpNbPp/P2n4/8/1R3P1P/3R2K1 b - - 1 29,-107
1r3rk1/5p2/p5p1/1BPpNbPp/P7/8/1Rn2P1P/3R2K1 w - - 2 30,0
1r3rk1/5p2/p5p1/1BPRNbPp/P7/8/1Rn2P1P/6K1 b - - 0 30,0
1r3rk1/5p2/6p1/1pPRNbPp/P7/8/1Rn2P1P/6K1 w - - 0 31,0
1r3rk1/5p2/6p1/1PPRNbPp/8/8/1Rn2P1P/6K1 b - - 0 31,-15
r4rk1/5p2/6p1/1PPRNbPp/8/8/1Rn2P1P/6K1 w - - 1 32,-13
r4rk1/5p2/6p1/1PPRNbPp/8/8/1Rn2P1P/5K2 b - - 2 32,-343
r2r2k1/5p2/6p1/1PPRNbPp/8/8/1Rn2P1P/5K2 w - - 3 33,205
r2R2k1/5p2/6p1/1PP1NbPp/8/8/1Rn2P1P/5K2 b - - 0 33,149
3r2k1/5p2/6p1/1PP1NbPp/8/8/1Rn2P1P/5K2 w - - 0 34,107
3r2k1/5p2/2P3p1/1P2NbPp/8/8/1Rn2P1P/5K2 b - - 0 34,0
6k1/5p2/2P3p1/1P1rNbPp/8/8/1Rn2P1P/5K2 w - - 1 35,40
6k1/5p2/2P3p1/1P1rNbPp/5P2/8/1Rn4P/5K2 b - - 0 35,24
r1bq1rk1/pp2bppp/1nnpp3/1B2P3/3P1B2/2N2N2/PP3PPP/R2Q1RK1 b - - 5 11,0
r1bq1rk1/pp2bppp/1nn1p3/1B2p3/3P1B2/2N2N2/PP3PPP/R2Q1RK1 w - - 0 12,32
r1bq1rk1/pp2bppp/1nn1p3/1B2P3/5B2/2N2N2/PP3PPP/R2Q1RK1 b - - 0 12,0
r1b2rk1/pp2bppp/1nn1p3/1B2P3/5B2/2N2N2/PP3PPP/R2q1RK1 w - - 0 13,42
r1b2rk1/pp2bppp/1nn1p3/1B2P3/5B2/2N2N2/PP3PPP/R2R2K1 b - - 0 13,0
r1b2rk1/pp2bppp/1n2p3/1B2P3/1n3B2/2N2N2/PP3PPP/R2R2K1 w - - 1 14,79
r1b2rk1/pp2bppp/1n2p3/1B2P3/1n6/2N2NB1/PP3PPP/R2R2K1 b - - 2 14,0
r1b2rk1/1p2bppp/pn2p3/1B2P3/1n6/2N2NB1/PP3PPP/R2R2K1 w - - 0 15,50
r1b2rk1/1p2bppp/pn2p3/4P3/1n6/2N2NB1/PP2BPPP/R2R2K1 b - - 1 15,10
r4rk1/1p1bbppp/pn2p3/4P3/1n6/2N2NB1/PP2BPPP/R2R2K1 w - - 2 16,15
r4rk1/1p1bbppp/pn2p3/4P3/1n1N4/2N3B1/PP2BPPP/R2R2K1 b - - 3 16,0
2r2rk1/1p1bbppp/pn2p3/4P3/1n1N4/2N3B1/PP2BPPP/R2R2K1 w - - 4 17,5
2r2rk1/1p1bbppp/pn2p3/4P3/1n1N4/2N2BB1/PP3PPP/R2R2K1 b - - 5 17,-13
2r2rk1/1p1bbppp/p3p3/3nP3/1n1N4/2N2BB1/PP3PPP/R2R2K1 w - - 6 18,36
2r2rk1/1p1bbppp/p3p3/3BP3/1n1N4/2N3B1/PP3PPP/R2R2K1 b - - 0 18,-22
2r2rk1/1p1bbppp/p3p3/3nP3/3N4/2N3B1/PP3PPP/R2R2K1 w - - 0 19,23
2r2rk1/1p1bbppp/p3p3/3nPN2/8/2N3B1/PP3PPP/R2R2K1 b - - 1 19,-14
2r2rk1/1p1b1ppp/p3p3/2bnPN2/8/2N3B1/PP3PPP/R2R2K1 w - - 2 20,39
2r2rk1/1p1b1ppp/p3p3/2bNPN2/8/6B1/PP3PPP/R2R2K1 b - - 0 20,7
2r2rk1/1p1b1ppp/p7/2bpPN2/8/6B1/PP3PPP/R2R2K1 w - - 0 21,15
